company_id,clean_name,country,original_name_example
a7e9d90a19a6,COSMEWAX,Spain,Cosmewax S.A.
b5e7611fc758,INDUSTRIAS CATALA INCASA,Spain,Industrias Catala S.A. (Incasa)
29e0c1b04bb6,AMC NATURAL DRINKS,Spain,AMC Natural Drinks SL
bbda0ecc7f0f,UNITED PET FOOD SPAIN U,Spain,"United Pet Food Spain, S.L.U"
ea4dfb1318e2,PERSEIDA BELLEZA,Spain,Perseida Belleza S.L
757296bfca6d,ONTEX SEGOVIA,Spain,Ontex Segovia
9f4d0cc64965,AGRICOLA 92,Spain,Agricola 92 S.L
0dcff5b7ddbb,J GARCÍA CARRIÓN DAIMIEL,Spain,J. García Carrión (Daimiel)
723139cf41f6,INTERNACIONAL OLIVARERA,Spain,"Internacional Olivarera, S.A."
172b44783b04,EMBUTIDOS GOIKOA U,Spain,Embutidos Goikoa S.A.U
7dc1cde81ec5,CAMPO DE SAN JUAN,Spain,Campo de San Juan SL
fd8b3a1698b8,J GARCÍA CARRIÓN VALDEPEÑAS,Spain,J. García Carrión (Valdepeñas)
24aba56a2e92,PRODUCTOS DE COSMÉTICA E HIGIENE PCH,Spain,Productos De Cosmética E Higiene S.L. (PCH)
d13adf72e0c8,BORGES AGRICULTURAL INDUSTRIAL EDIBLE OILS SAU,Spain,"BORGES AGRICULTURAL & INDUSTRIAL EDIBLE OILS, SAU"
403a79a04fcf,COSMEWAX DEPILATORIES DIVISION,Spain,Cosmewax SA (Depilatories Division)
8fb8d297c6a8,CONSERVAS EL RAAL SCL,Spain,Conservas El Raal S.C.L.
8dcea347fde4,LABORATORIOS MAVERICK U,Spain,Laboratorios Maverick S.L.U.
0e48217d49f6,CANDY SPAIN,Spain,CANDY SPAIN S.L.
ad4584c92a88,INTERAL,Spain,Interal S.A.
18e8cc77d79e,NATRA,Spain,Natra SA
0d00009a5e6e,VIDAL GOLOSINAS,Spain,"Vidal Golosinas, SA"
8c8bd50e8588,FREIXENET GROUP SEGURA VIUDAS,Spain,FREIXENET  GROUP  / SEGURA  VIUDAS  SA 
387f1c6a5234,TANY,Spain,TANY 
6eaa1e75b9cb,GUIMERA SELECT FRUITS,Spain,GUIMERA  SELECT FRUITS  S.L 
da3b9e7e0c9d,SACOJE SCA 4146S,Spain,SACOJE  S.C.A.  (4146S) 
ee090e54738f,MURGIVERDE 6539M,Spain,MURGIVERDE  (6539M) 
fc4107b93a6d,JK CONFECTIONERY VIDAL,Spain,J&K  CONFECTIONERY  - VIDAL 
d51cb09ecb29,EI WINES BODEGAS WILLIAMS AND HUMBERT U,Spain,EI  WINES  -  BODEGAS WILLIAMS  AND HUMBERT  S.A.U 
13f52b872ac4,NOEL SANT JOAN DE LES ABADESSES PILOT,Spain,NOEL  SANT  JOAN  DE LES  ABADESSES (PILOT) 
6665854d53c7,NOEL SNACKING SITE,Spain,NOEL  SNACKING  SITE 
4c2ddc28638c,JK CONFECTIONERY VIDAL CANDY SPAIN,Spain,J&K  CONFECTIONERY  - VIDAL  CANDY  SPAIN
3fa8b7653309,COMPANIA DE VINOS TELMO RODRIGUEZ,Spain,COMPANIA  DE  VINOS TELMO  RODRIGUEZ 
88c4de28b232,LIBERTY WINES EL COTO DE RIOJA,Spain,LIBERTY  WINES  -  EL COTO  DE  RIOJA 
c3e3441b6800,AMC POBLA LLARGA,Spain,AMC  POBLA  LLARGA
910e8f539bb6,DE LA HUZ,Spain,DE  LA  HUZ 
d121829c7322,PENÍNSULA VINICULTORES FONTANA,Spain,"PENÍNSULA VINICULTORES,  S.L  - FONTANA "
7a2434e040ac,EI WINES BODEGAS CASTANO,Spain,EI  WINES  -  BODEGAS CASTANO  S.L
89172c2b0c81,FMV WINES EMILIO LUSTAU,Spain,FMV  WINES  -  EMILIO LUSTAU  SA 
15305ba48e7c,PAIARROP,Spain,"PAIARROP,  S.L. "
4bcbe12ef08e,ULTRACONGELADOS VIRTO,Spain,"ULTRACONGELADOS, VIRTO  SA "
1b1b546fb19e,MUNOZ AMC GROUP MURCIA,Spain,MUNOZ  -  AMC  GROUP MURCIA 
e6225bfb2bd4,WBD ELABORADOS NATURALES,Spain,WBD  ELABORADOS NATURALES 
2fd62205aac3,WITHERS AGENCIES JORDI MIRO,Spain,WITHERS  AGENCIES LTD  -  JORDI  MIRO 
c8fc2647fca9,SAT VIDRIO,Spain,SAT  VIDRIO 
c34bb8f9cdc2,MARTINAVARRO XERACO,Spain,MARTINAVARRO  - XERACO 
29b811652b99,FRUTAS ESTHER,Spain,FRUTAS  ESTHER  S.A. 
1824fcea1edd,NOEL ALIMENTARIA SITE 1 CHORIZO SITE,Spain,NOEL  ALIMENTARIA  - SITE  1  CHORIZO  SITE 
a2de4f3f4eac,AMC CARCER,Spain,AMC  CARCER 
db57118cfb59,KETTLE PRODUCE ESPANA,Spain,KETTLE  PRODUCE ESPANA 
892bfe85dec6,PALOMA GROUP HERNANDEZ ZAMORA MAZARRON,Spain,Paloma Group - Hernandez Zamora SA - Mazarron
100f321373f1,VICENTE GINER,Spain,Vicente Giner
00baefd01064,FRUVEG SCL,Spain,Fruveg SCL
a8c5d545a0ab,VIÑA COSTEIRA,Spain,Viña Costeira
62c8825e009f,BODEGAS BORSAO,Spain,Bodegas Borsao
281b77c73b6f,PERALES Y FERRER,Spain,PERALES Y FERRER
68b05c286036,ACRENA T 251,Spain,Acrena  S.A.T. 251
c43c6ec359e1,CITRIAL,Spain,Citrial
013160f79991,ANGEL CAMACHO,Spain,Angel Camacho SA
dc8bf52dd423,AGRIOS EL CARRIL,Spain,Agrios el Carril
2826104a30e2,FRUCA MARKETING,Spain,Fruca Marketing
5559025c2452,EL CIRUELO ALHAMA,Spain,El Ciruelo - Alhama
bbb0b744483b,YURRITA,Spain,Yurrita
188fa0cba53c,SPB1,Spain,SPB1
4a358efb20d8,ACESUR VILCHES,Spain,Acesur Vilches
62fdb0e1aae5,INDASOL T 9404,Spain,Indasol S.A.T 9404
ae0fc2b8a524,AMC SPAIN,Spain,AMC Spain
0b091b85dde2,BODEGAS CABALLERO,Spain,Bodegas Caballero
b4aa6267d443,RIO TINTO,Spain,Rio Tinto
09d1b38c3e89,EL LIMONAR,Spain,EL LIMONAR
137cd6707287,EL CIRUELO CIEZA,Spain,El Ciruelo - Cieza
6bf5acf796af,CVNE,Spain,CVNE
711820ddca7b,ACESUR SEVILLE,Spain,Acesur Seville
22232359ed9b,AGROIRIS CENTRAL,Spain,Agroiris - Central
632c802a9f50,OP AGROMARK,Spain,O.P. AGROMARK S.L
198216854ca4,LACTEAS GARCIA BAQUERO,Spain,"Lacteas Garcia Baquero, SA"
c556b6604725,VICASOL CENTRO 2,Spain,Vicasol - Centro 2
5f78db30c45f,FRÍO SESEÑA,Spain,Frío Seseña S.L.
0dd7ad0cafc3,MARCOS,Spain,Marcos
89f3845dd617,VINA BUJANDA,Spain,Vina Bujanda
3ad3f16403e3,BONNYSA,Spain,Bonnysa
7869f94990e8,VINOS Y BODEGAS GALLEGAS,Spain,Vinos y Bodegas Gallegas
e1bc7ed28245,MAYES,Spain,Mayes
e4ec26a429d3,FINCA PASCUALETE,Spain,Finca Pascualete
623e095137aa,BODEGAS REYMOS CHESTE AGRARIA COOP V,Spain,"Bodegas Reymos, Cheste Agraria Coop. V."
cb37e54c4df9,BODEGA CAVAS CODORNIU,Spain,Bodega Cavas Codorniu
b08f669052c6,VICASOL CENTRO 1,Spain,Vicasol Centro 1
