facility_id,name,address,country
ES2022137084TGZ,Cosmewax S.A.,C/ Ildefonso Carrascosa 6,Spain
ES2022137PBPGK3,Industrias Catala S.A. (Incasa),Av. Paisos Catalans 13-15,Spain
ES2022297283F6J,AMC Natural Drinks SL,"Ctra. Madrid-Cartagena, km 383, Murcia, Region of Murcia, 30100",Spain
ES20222974BF59W,"United Pet Food Spain, S.L.U","Polígono Industrial La Noria – El Vadillo, S/N, El Burgo de Ebro, Zaragoza, 50730",Spain
ES202229764WPJY,Perseida Belleza S.L,"Pol. Industrial El Pabellon S/N, Jerez de los Caballero, Badajoz, 6380",Spain
ES20222977AN886,Ontex Segovia,"Polígono Industrial Nicomedes García C/Fresno s/n, sector c""",Spain
ES2022297A1W450,Agricola 92 S.L,"Carretera Cuevas de Almanzora Águilas km 11, Cuevas del Almanzora, Almería, 4610",Spain
ES2022297C1MF44,J. García Carrión (Daimiel),"Pol. Ind. Sepes C/ Guarnicioneros s/n CP: 13250 Daimiel (Ciudad Real), Daimiel, Castile-La Mancha, 13250",Spain
ES2022297FKYM59,"Internacional Olivarera, S.A.",Calle Garcilaso de la Vega 2 Dos Hermanas 41704 Sevilla,Spain
ES2022297GFQ8GY,Embutidos Goikoa S.A.U,"Polígono Rocaforte C6 31400 Sanguesa, Rocaforte, Navarre, C6 31400",Spain
ES2022297SR438G,Campo de San Juan SL,"C/Syrah No. 4, Poligono Industrial Alces, 13600, ALCAZAR DE SAN JUAN",Spain
ES2022297VE8QA2,J. García Carrión (Valdepeñas),"Autovía A-4 km 200, 5 CP: 13300, Valdepeñas, Ciudad Real,",Spain
ES2022297VZDD59,Productos De Cosmética E Higiene S.L. (PCH),"Carrer Monturiol 28, 08210 Barberá Del Vallés, Barberá Del Vallés, Barcelona, 8210",Spain
ES2022297XDQY9R,"BORGES AGRICULTURAL & INDUSTRIAL EDIBLE OILS, SAU","Avenida J.Trepat, 38, TÀRREGA (LLEIDA), 25300",Spain
ES2022297YTDSFX,Cosmewax SA (Depilatories Division),"Avenida Sudáfrica,110, Jerez de la Frontera, Cádiz, 11408",Spain
ES2022297ZX8DQR,Conservas El Raal S.C.L.,"C/Los Simones, 14 Murcia El Raal Murcia 30139 Murcia",Spain
ES20223009TVQYM,Laboratorios Maverick S.L.U.,"CL. París 4 - Polígono Industrial Valldepins ,  Ulldecona, Catalunya",Spain
ES2022300EQ93F1,CANDY SPAIN S.L.,"Candy Spain, S.L., Ctra. De Madrid, Km.314, 8 02400 Hellin Albacete Spain",Spain
ES2022300MVGD1E,Interal S.A.,"Interal, S.A., Calle Urune 34, Pol. Industrial 103 20100 Lezo Gipuzkoa Spain",Spain
ES2022300VC30W7,Natra SA,"Natra Onati Sa, Ctra. De Aranzazu S/N, 20560 Onati-Gipuzkoa",Spain
ES2022300ZS557A,"Vidal Golosinas, SA","Av Gutierrez Mellado, S/N, Molina De Segura, Murcia, Spain",Spain
ES20223051A8HZ9,FREIXENET  GROUP  / SEGURA  VIUDAS  SA,JOAN SALA 2 SANT SADURNÍ D'ANOIA. BARCELONA 8770,Spain
ES202230521DR6M,TANY,CAMINO GENERAL TANY NATURE S.A.C ZURBARÁN N06712,Spain
ES20223052AVW7G,GUIMERA  SELECT FRUITS  S.L,CAMINO DEL FUTBOL S/N MAELLA Z 50710,Spain
ES2022305319C54,SACOJE  S.C.A.  (4146S),"LA HOYA, LORCA POL. IND LA HOYA, MURCIA 30816",Spain
ES20223054FY9WW,MURGIVERDE  (6539M),EL EJIDO C/PERGOLA NO51 EL EJIDO AL 04700,Spain
ES20223056JRYQB,J&K  CONFECTIONERY  - VIDAL,MOLINA DE SEGURA AVENIDA GUTIERREZ MELLADO MURCIA MU 30500,Spain
ES20223057CNA0R,EI  WINES  -  BODEGAS WILLIAMS  AND HUMBERT  S.A.U,"CARRETERA NACIONAL IV, KM 641, 75 JEREZ DE LA FRONTEREA CADIZ 11408",Spain
ES20223058X9YJ4,NOEL  SANT  JOAN  DE LES  ABADESSES (PILOT),"AVINGUDA DEL COVILAR, POLÍGONO INDUSTRIAL LA COROMINA DEL BAC, 4, 5, 6 SANT JOAN DE LES ABADESSES, GI,",Spain
ES2022305A2Q45J,NOEL  SNACKING  SITE,"POLÍGON INDUSTRIAL LA COROMINA DEL BAC, 4, 5, 6, AVINGUDA DEL COVILAR, SANT JOAN DE LES ABADESSES, GI,",Spain
ES2022305AZQSDC,J&K  CONFECTIONERY  - VIDAL  CANDY  SPAIN,CARRETERA MADRID CARTAGENA HELLÍN 2400,Spain
ES2022305CNJW5T,COMPANIA  DE  VINOS TELMO  RODRIGUEZ,"CAM. BODEGA LANZAGA, 01308, ÁLAVA, ESPAÑA",Spain
ES2022305DW6P4F,LIBERTY  WINES  -  EL COTO  DE  RIOJA,"CALLE CMNO. VIEJO, 26, 01320 OYÓN-OION, ÁLAVA",Spain
ES2022305E5GYS0,AMC  POBLA  LLARGA,CTR. RAFELGUARAF S/N POBLA LLARGA V 46670,Spain
ES2022305JKN3PS,DE  LA  HUZ,"STADEN LN CALLE MONJAS 36, VILLAMAYOR DE SANTIAGO, CU,",Spain
ES2022305JME497,"PENÍNSULA VINICULTORES,  S.L  - FONTANA","EXTRAMUROS S/N, FUENTE DE PEDRO NAHARRO, CU",Spain
ES2022305JMEXKA,EI  WINES  -  BODEGAS CASTANO  S.L,CTRA FUENTEALAMO 3 YECLA MURCIA 30510,Spain
ES2022305KFQ84B,FMV  WINES  -  EMILIO LUSTAU  SA,JEREZ DE LA FRONTERA C/ARCOS 53 CÁDIZ 11402,Spain
ES2022305KP1GXX,"PAIARROP,  S.L.","POLIGONO INDUSTRIAL LA CREU C/FEDERICO GARCIA LORCA, 3, ALCUDIA, V",Spain
ES2022305N7GHFJ,"ULTRACONGELADOS, VIRTO  SA",PARCELA C POLIGONO INDUSTRIAL AZAGRA NA 31560,Spain
ES2022305PM332R,MUNOZ  -  AMC  GROUP MURCIA,"CTRA MADRID CARTAGENA KM 390 ESPINARDO, MURCIA 30100",Spain
