"os_id","contribution_date","name","address","country_code","country_name","lat","lng","sector","contributor (list)","number_of_workers","parent_company","processing_type_facility_type_raw","facility_type","processing_type","product_type","is_closed"
"ES2022137084TGZ","2022-05-17","Cosmewax S.A.","C/ Ildefonso Carrascosa 6","ES","Spain",39.5501441,-0.2993582,"Agriculture|Apparel|Beauty Products|Food|Food & Beverage|Food Manufacturing|Manufacturing|Unspecified","HEMA B.V. (HEMA B.V. Facility List November 2025)|Sainsbury's (Sainsbury's Food Tier 1 2025)|HEMA B.V. (Facility List June 2024)|HEMA B.V. (Facility List June 2024)|An Auditor / Certification Scheme / Service Provider|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|HEMA B.V. (HEMA's Production Locations March 2022 - October 2022)|A Brand / Retailer|Amazon.com, Inc. (Amazon Facility List 2022)|An Auditor / Certification Scheme / Service Provider|An Auditor / Certification Scheme / Service Provider|Roundtable on Sustainable Palm Oil (RSPO) [Public List] (Roundtable on Sustainable Palm Oil September 2022)|Amazon.com, Inc. (Amazon Facility List 2023)|HEMA B.V. (HEMA Facility List November 2024)|Sainsbury's (J Sainsbury's)|HEMA B.V. (HEMA B.V. April 2025)","34|242|242|0-100|242|242|242|34|242","Cosmewax S.A.|Geocos B.V.|Geocos B.V.|Geocos B.V.|Geocos B.V.|Geocos B.V.|COSMEWAX|Geocos B.V.","R&D|bulk| bulk|filling|Packaging| filling|Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations|Filling","","perfumes and toilet preparations|cleaning and polishing preparations|Manufacture of soap and detergents|Packaging|Filling|filling|R&D|bulk|R&D|filling|bulk|bulk|filling|R&D|bulk|filling","Hardware|Beauty|Beauty|Beauty","False"
"ES2022137PBPGK3","2022-05-17","Industrias Catala S.A. (Incasa)","Av. Paisos Catalans 13-15","ES","Spain",41.8586339,3.0831469,"Agriculture|Apparel|Food|Food & Beverage|Food Manufacturing|Hard Goods|Home|Manufacturing|Unspecified","HEMA B.V. (HEMA B.V. Facility List November 2025)|Sainsbury's (Sainsbury's Food Tier 1 2025)|HEMA B.V. (Facility List June 2024)|HEMA B.V. (Facility List June 2024)|An Auditor / Certification Scheme / Service Provider|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|Ecocert [Public List] (Ecocert - September 2024 Production Locations List)|A Brand / Retailer|HEMA B.V. (HEMA's Production Locations March 2022 - October 2022)|A Brand / Retailer|An Auditor / Certification Scheme / Service Provider|Roundtable on Sustainable Palm Oil (RSPO) [Public List] (Roundtable on Sustainable Palm Oil September 2022)|HEMA B.V. (HEMA Producion locations October 2023)|HEMA B.V. (HEMA Facility List November 2024)|Sainsbury's (J Sainsbury's)|HEMA B.V. (HEMA B.V. April 2025)","205|190|190|190|190|190|190|248|190","Incasa|Industrias Catala S.A. (Incasa)|Industrias Catala S.A. (Incasa)|Industrias Catala S.A. (Incasa)|INDUSTRIAS CATALA S.A.|Industrias Catala S.A. (Incasa)|Industrias Catala S.A. (Incasa)|Industrias Catala S.A. (Incasa)|Industrias Catala SA (INCASA)|Industrias Catala S.A. (Incasa)","Manufacturer | Processor|Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations","","perfumes and toilet preparations|cleaning and polishing preparations|Manufacture of soap and detergents|Processor|Manufacturer","Hardware|Hardware|Hardware|Hardware","False"
"ES2022297283F6J","2022-10-24","AMC Natural Drinks SL","Ctra. Madrid-Cartagena, km 383, Murcia, Region of Murcia, 30100","ES","Spain",38.017505,-1.1658325,"Food & Beverage|Unspecified","Wm Morrison Supermarkets Limited (Morrisons Food, H&B, Baby, Household & Pet T1 Facility List June 2025)|Co-op (Co-op Food Own-brand Tier One Supply Chain 2023)|Amazon.com, Inc. (Amazon Facility List 2022)|A Brand / Retailer|Sainsbury's (J Sainsbury's)|Co-op (Co-op Food Own-Brand Tier One Supply Chain 2024)","408|403|403","AMC Global","","","","","False"
"ES20222974BF59W","2022-10-24","United Pet Food Spain, S.L.U","Polígono Industrial La Noria – El Vadillo, S/N, El Burgo de Ebro, Zaragoza, 50730","ES","Spain",41.5719653,-0.7419941999999999,"Food & Beverage","Amazon.com, Inc. (Amazon Facility List 2022)|Amazon.com, Inc. (Amazon Facility List 2023)","101-500","","","","","","False"
"ES202229764WPJY","2022-10-24","Perseida Belleza S.L","Pol. Industrial El Pabellon S/N, Jerez de los Caballero, Badajoz, 6380","ES","Spain",38.3356298,-6.7768499,"Agriculture|Food|Food & Beverage|Food Manufacturing","Amazon.com, Inc. (Amazon Facility List 2022)|Roundtable on Sustainable Palm Oil (RSPO) [Public List] (Roundtable on Sustainable Palm Oil September 2022)|Amazon.com, Inc. (Amazon Facility List 2023)","0-100","CRISTIAN LAY SOCIEDAD ANONIMA","","","","","False"
"ES20222977AN886","2022-10-24","Ontex Segovia","Polígono Industrial Nicomedes García C/Fresno s/n, sector c"" ","ES","Spain",40.9591006,-4.2064286,"Food & Beverage","Co-op (Co-op Food Own-brand Tier One Supply Chain 2023)|Amazon.com, Inc. (Amazon Facility List 2022)|Amazon.com, Inc. (Amazon Facility List 2023)|Co-op (Co-op Food Own-Brand Tier One Supply Chain 2024)","101-500|0|489|535"," ""","","",""," Valverde del Majano","False"
"ES2022297A1W450","2022-10-24","Agricola 92 S.L","Carretera Cuevas de Almanzora Águilas km 11, Cuevas del Almanzora, Almería, 4610","ES","Spain",37.2923986,-1.8751691,"Food|Food & Beverage|Unspecified","John Lewis Partnership (Waitrose Factory List July 2025)|Amazon.com, Inc. (Amazon Facility List 2024)|John Lewis Partnership (John Lewis Partnership Factory List December 2021 (Archived Data))|John Lewis Partnership (Waitrose Factory List April 2024)|John Lewis Partnership (Waitrose Factory List April 2024)|Amazon.com, Inc. (Amazon Facility List 2022)|John Lewis Partnership (Waitrose Factory List - End Jan 23)|John Lewis Partnership (Waitrose Factory List April 2023)|John Lewis Partnership (Waitrose Factory List July 2023)|Amazon.com, Inc. (Amazon Facility List 2023)|John Lewis Partnership (Waitrose Factory List October 2023)|John Lewis Partnership (Waitrose Factory List July 2024)|John Lewis Partnership (Waitrose Factory List July 2024)|John Lewis Partnership (Waitrose Factory List January 2024)|John Lewis Partnership (Waitrose Factory List Oct 2024)|John Lewis Partnership (Waitrose Factory List January 2025)","101-500|201|184|184|277|225|600|225|225|234|234","","Finished goods","","Finished goods","Food and beverage","False"
"ES2022297C1MF44","2022-10-24","J. García Carrión (Daimiel)","Pol. Ind. Sepes C/ Guarnicioneros s/n CP: 13250 Daimiel (Ciudad Real), Daimiel, Castile-La Mancha, 13250","ES","Spain",39.0787121,-3.5895055,"Food & Beverage","Amazon.com, Inc. (Amazon Facility List 2022)|Amazon.com, Inc. (Amazon Facility List 2023)","101-500","","","","","","False"
"ES2022297FKYM59","2022-10-24","Internacional Olivarera, S.A.","Calle Garcilaso de la Vega 2 Dos Hermanas 41704 Sevilla","ES","Spain",37.2933128,-5.928835599999999,"Food|Food & Beverage|Food Industry|Food Manufacturing","A Brand / Retailer|Marks & Spencer (Marks and Spencer (M&S) Food Facility List June 2025)|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|US Food & Drug Administration (FDA) [Public List]|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|Asda (Asda facility list May 2025)|A Brand / Retailer","163","","| Finished Product Supplier|Factory | Manufacturing| Processing Site | Production ","","Factory|Production|Manufacturing|Processing Site|Finished Product Supplier","Food products ","False"
"ES2022297GFQ8GY","2022-10-24","Embutidos Goikoa S.A.U","Polígono Rocaforte C6 31400 Sanguesa, Rocaforte, Navarre, C6 31400","ES","Spain",42.598493,-1.2741145,"Food|Food & Beverage|Unspecified","Sainsbury's (Sainsbury's Food Tier 1 2025)|Amazon.com, Inc. (Amazon Facility List 2024)|John Lewis Partnership (Waitrose Factory List April 2024)|Co-op (Co-op Food Own-brand Tier One Supply Chain 2023)|John Lewis Partnership (Waitrose Factory List January 2024)|John Lewis Partnership (John Lewis Partnership Factory List March 2021 (Archived Data))|Amazon.com, Inc. (Amazon Facility List 2022)|John Lewis Partnership (Waitrose Factory List April 2023)|Amazon.com, Inc. (Amazon Facility List 2023)|John Lewis Partnership (Waitrose Factory List - End Jan 23)|John Lewis Partnership (Waitrose Factory List July 2023)|John Lewis Partnership (Waitrose Factory List October 2023)|John Lewis Partnership (Waitrose Factory List July 2024)|John Lewis Partnership (Waitrose Factory List July 2024)|John Lewis Partnership (John Lewis Partnership Factory List October 2018 (Archived Data - WR only))|John Lewis Partnership (John Lewis Partnership Factory List January 2021 (Archived Data - WR only))|Sainsbury's (J Sainsbury's)|Co-op (Co-op Food Own-Brand Tier One Supply Chain 2024)|John Lewis Partnership (Waitrose Factory List January 2025)","284|0|183|282|101-500|125|183|183|281|284|284|282|284|284|284|284","WINTERBOTHAM DARBY|Embutidos Goikoa","Other processing and preserving of meat|Finished goods","","Other processing and preserving of meat|Finished goods","Food and beverage","False"
